job_id,job_title,skills_required,job_location,education_required,work_experience_required,job_type,work_type,soft_skills_required,companyHR_id
15,Big Data Engineer,"Spark, Scala, Spark, Spark, Hive, Hadoop",Peshawar,Intermediate,2,Contract,Onsite,"Teamwork, Adaptability, Problem Solving, Communication",314
16,Big Data Engineer,"Scala, Hive, big data, Spark",Peshawar,Intermediate,1,Contract,Onsite,"Problem Solving, Communication",140
17,Backend Developer,"JavaScript, backend, CSS, HTML",Karachi,Intermediate,2,Full-time,Remote,"Teamwork, Problem Solving, Adaptability",110
18,Business Analyst,"requirements gathering, requirements gathering, process improvement, process improvement, process improvement",Abbottabad,Intermediate,0,Part-time,Onsite,"Teamwork, Communication, Adaptability, Problem Solving",357
19,Blockchain Developer,"ethereum, solidity, hyperledger",Hyderabad,Intermediate,2,Contract,Onsite,"Problem Solving, Teamwork, Adaptability, Communication",448
20,Cloud Engineer,"IaC, EC2, EC2, AWS, VPC",Faisalabad,Intermediate,1,Full-time,Onsite,"Teamwork, Communication, Problem Solving, Adaptability",177
21,Data Scientist,"statistics, R, analytics, data, R",Quetta,Intermediate,0,Internship,Remote,"Communication, Problem Solving, Adaptability",159
22,System Administrator,"security, system, Linux, security",Multan,Masters,0,Internship,Onsite,Teamwork,169
23,Security Operations Center (SOC) Analyst,"log analysis, network traffic analysis, security monitoring, network traffic analysis",Lahore,PhD,18,Part-time,Onsite,Teamwork,412
24,Big Data Engineer,"Scala, MapReduce, Scala, Scala, Spark, Spark",Rawalpindi,Bachelors,2,Part-time,Remote,Teamwork,69
25,Database Administrator,"Oracle, SQL, NoSQL, database",Islamabad,PhD,16,Part-time,Onsite,"Adaptability, Communication, Teamwork",151
26,Cybersecurity Analyst,"penetration testing, cryptography, SIEM, incident response, IDPS",Lahore,Masters,0,Part-time,Onsite,"Adaptability, Teamwork, Communication, Problem Solving",297
27,IT Project Manager,"PMP, PMP, scrum",Islamabad,Bachelors,0,Internship,Onsite,"Problem Solving, Communication",108
28,Backend Developer,"backend, PHP, .net, backend, frontend",Quetta,Intermediate,1,Contract,Remote,"Communication, Adaptability, Teamwork, Problem Solving",415
29,Security Architect,"encryption standards, security protocols, security architecture, threat modeling",Sukkur,PhD,5,Part-time,Remote,Teamwork,226
30,Mobile App Developer,"flutter, app, iOS, mobile",Peshawar,Bachelors,2,Full-time,Onsite,"Teamwork, Adaptability, Problem Solving",412
31,AI Engineer,"artificial intelligence, artificial intelligence, computer vision, computer vision, deep learning",Peshawar,Intermediate,0,Internship,Remote,"Communication, Adaptability, Problem Solving, Teamwork",335
32,IT Consultant,"TOGAF, strategy, business, ITIL",Gujranwala,PhD,2,Part-time,Onsite,"Communication, Problem Solving, Adaptability, Teamwork",318
33,Network Administrator,"network monitoring, network configuration, DHCP, network security protocols, network configuration, switching",Faisalabad,PhD,5,Part-time,Onsite,"Problem Solving, Communication",493
34,Security Operations Center (SOC) Analyst,"network traffic analysis, incident escalation, SOC, log analysis, security incident handling, security incident handling",Islamabad,Bachelors,1,Full-time,Remote,"Problem Solving, Teamwork, Adaptability, Communication",428
35,Database Administrator,"database, NoSQL, SQL, NoSQL, MySQL, Oracle",Bahawalpur,Intermediate,2,Full-time,Onsite,"Adaptability, Teamwork, Communication, Problem Solving",399
36,UI/UX Designer,"Figma, Figma, Sketch, Adobe XD, Sketch",Hyderabad,Bachelors,1,Contract,Onsite,"Communication, Teamwork, Adaptability, Problem Solving",492
37,Backend Developer,"HTML, HTML, JavaScript, JavaScript, backend, frontend",Multan,PhD,13,Part-time,Onsite,"Adaptability, Problem Solving, Teamwork, Communication",373
38,IT Project Manager,"agile, MS Project, PMP, MS Project",Nawabshah,Bachelors,2,Part-time,Remote,Problem Solving,241
39,Quality Assurance Engineer,"QA, pytest, JUnit, automation, Selenium, Postman",Nawabshah,PhD,1,Full-time,Onsite,Problem Solving,268
40,Security Operations Center (SOC) Analyst,"security procedures, log analysis, security tool management, security incident handling, SOC",Hyderabad,PhD,15,Full-time,Onsite,"Communication, Teamwork",258
41,Data Scientist,"machine learning, machine learning, statistics, statistics, statistics, data",Rawalpindi,Intermediate,2,Full-time,Remote,"Teamwork, Communication",136
42,Business Analyst,"analysis, stakeholder management, analysis, business, stakeholder management",Bahawalpur,PhD,1,Contract,Onsite,"Teamwork, Problem Solving",368
43,Machine Learning Engineer,"computer vision, deep learning, NLP, artificial intelligence",Lahore,Bachelors,0,Internship,Remote,"Adaptability, Teamwork, Communication, Problem Solving",377
44,System Administrator,"Linux, networking, security, Linux",Sialkot,Intermediate,1,Internship,Remote,"Adaptability, Communication",342
45,Blockchain Developer,"hyperledger, smart contract, hyperledger, smart contract, solidity, ethereum",Hyderabad,Masters,1,Contract,Onsite,"Adaptability, Problem Solving, Teamwork, Communication",326
46,AI Engineer,"neural network, NLP, machine learning",Multan,Intermediate,1,Full-time,Onsite,"Problem Solving, Adaptability, Communication, Teamwork",327
47,Data Scientist,"R, python, analytics",Nawabshah,Masters,5,Part-time,Remote,"Problem Solving, Teamwork, Adaptability, Communication",52
48,Mobile App Developer,"mobile, Swift, mobile, flutter, app",Peshawar,Masters,3,Contract,Onsite,"Teamwork, Communication, Adaptability",277
49,UI/UX Designer,"Figma, Figma, Adobe XD, UI, Figma, UI",Abbottabad,Intermediate,0,Contract,Remote,"Communication, Problem Solving, Teamwork, Adaptability",21
50,Big Data Engineer,"Scala, Scala, Hadoop",Gujranwala,Bachelors,1,Contract,Onsite,"Adaptability, Teamwork",220
51,Machine Learning Engineer,"NLP, artificial intelligence, NLP, computer vision",Hyderabad,PhD,18,Part-time,Onsite,"Communication, Adaptability",167
52,Ethical Hacker,"social engineering, penetration testing, exploit development, exploit development, wireless security",Peshawar,Masters,9,Part-time,Onsite,Teamwork,355
53,IT Consultant,"strategy, business, consulting, strategy, TOGAF",Sukkur,Intermediate,0,Part-time,Onsite,"Adaptability, Communication, Problem Solving, Teamwork",354
54,Software Engineer,"programming, C#, programming, Java",Multan,PhD,13,Contract,Remote,"Adaptability, Problem Solving, Communication, Teamwork",398
55,IT Consultant,"TOGAF, business, ITIL, strategy",Gujranwala,Bachelors,5,Part-time,Remote,"Communication, Adaptability, Teamwork",171
56,System Administrator,"networking, security, networking, Linux, Linux",Islamabad,Masters,4,Part-time,Remote,Adaptability,67
57,System Administrator,"administration, system, Linux, system, security, system",Sukkur,Bachelors,2,Part-time,Onsite,"Adaptability, Communication, Problem Solving, Teamwork",69
58,Big Data Engineer,"Scala, Spark, Spark, big data, Spark",Islamabad,Intermediate,0,Contract,Remote,"Problem Solving, Teamwork, Communication",96
59,Business Analyst,"process improvement, process improvement, requirements gathering",Sialkot,Intermediate,2,Contract,Onsite,"Adaptability, Problem Solving, Teamwork, Communication",63
60,Data Scientist,"python, machine learning, analytics",Faisalabad,Intermediate,1,Internship,Onsite,Problem Solving,168
61,IT Project Manager,"MS Project, MS Project, MS Project, agile",Abbottabad,Bachelors,4,Part-time,Onsite,"Problem Solving, Teamwork, Adaptability",351
62,IT Project Manager,"scrum, MS Project, scrum, scrum, agile",Multan,Masters,6,Full-time,Onsite,Problem Solving,438
63,Business Analyst,"analysis, requirements gathering, analysis, analysis",Multan,Masters,0,Part-time,Remote,"Adaptability, Problem Solving, Communication",409
64,Game Developer,"C#, C#, C#",Peshawar,Bachelors,0,Contract,Remote,"Adaptability, Teamwork, Communication, Problem Solving",128
65,Web Developer,".net, JavaScript, backend, backend, backend, PHP",Faisalabad,Masters,4,Contract,Onsite,"Communication, Teamwork, Problem Solving",414
66,Database Administrator,"NoSQL, NoSQL, PostgreSQL",Multan,Masters,0,Contract,Remote,"Problem Solving, Teamwork",156
67,Mobile App Developer,"app, flutter, Swift",Faisalabad,Bachelors,2,Part-time,Remote,Teamwork,452
68,IT Support Specialist,"IT, customer service, customer service, ticketing",Sialkot,Masters,1,Part-time,Onsite,Communication,284
69,IT Support Specialist,"ticketing, support, support, IT",Faisalabad,PhD,3,Part-time,Onsite,"Communication, Adaptability, Problem Solving",281
70,Data Scientist,"R, python, machine learning, python, statistics, data",Gujranwala,PhD,16,Full-time,Onsite,"Teamwork, Adaptability, Communication",105
71,Machine Learning Engineer,"NLP, computer vision, generative AI, computer vision, generative AI",Multan,Masters,9,Contract,Remote,"Problem Solving, Communication, Teamwork",246
72,System Administrator,"security, security, administration, networking",Karachi,Bachelors,1,Internship,Remote,"Problem Solving, Adaptability",207
73,Big Data Engineer,"MapReduce, MapReduce, MapReduce, Scala",Abbottabad,PhD,8,Contract,Remote,"Teamwork, Adaptability",116
74,Data Scientist,"statistics, R, analytics, analytics, R, machine learning",Sialkot,Bachelors,1,Full-time,Onsite,Problem Solving,120
75,Ethical Hacker,"social engineering, social engineering, vulnerability assessment, threat modeling, vulnerability assessment, metasploit",Quetta,Bachelors,1,Contract,Onsite,"Communication, Teamwork, Problem Solving",500
76,Quality Assurance Engineer,"J metre, Selenium, automation, J metre, JUnit",Karachi,Intermediate,1,Contract,Remote,"Teamwork, Problem Solving, Communication, Adaptability",268
77,AI Engineer,"neural network, machine learning, computer vision, neural network, generative AI",Quetta,Intermediate,2,Part-time,Onsite,Adaptability,345
78,Frontend Developer,"MERN, PHP, .net, frontend, frontend",Bahawalpur,PhD,20,Full-time,Onsite,Communication,412
79,Blockchain Developer,"solidity, solidity, blockchain",Hyderabad,Intermediate,0,Full-time,Onsite,Teamwork,387
80,AI Engineer,"computer vision, artificial intelligence, artificial intelligence",Sukkur,Bachelors,3,Contract,Onsite,Problem Solving,24
81,Data Scientist,"machine learning, statistics, R, python",Bahawalpur,Bachelors,1,Full-time,Onsite,"Communication, Problem Solving, Adaptability",84
82,IT Support Specialist,"troubleshooting, troubleshooting, troubleshooting, helpdesk, customer service, troubleshooting",Quetta,Intermediate,1,Full-time,Onsite,"Problem Solving, Teamwork, Communication",48
83,Network Administrator,"network monitoring, network configuration, network configuration",Multan,PhD,3,Full-time,Onsite,Problem Solving,166
84,Machine Learning Engineer,"artificial intelligence, deep learning, generative AI, generative AI, deep learning",Lahore,PhD,16,Part-time,Remote,Adaptability,373
85,Cybersecurity Analyst,"IDPS, IDPS, penetration testing, incident response, IDPS",Gujranwala,Intermediate,1,Internship,Remote,"Communication, Adaptability",447
86,Business Analyst,"business, process improvement, business, process improvement, process improvement",Lahore,Masters,9,Part-time,Onsite,"Problem Solving, Teamwork, Communication, Adaptability",274
87,AI Engineer,"machine learning, neural network, deep learning",Peshawar,Bachelors,1,Contract,Remote,"Communication, Problem Solving",63
88,DevOps Engineer,"Kubernetes, Kubernetes, Ansible",Rawalpindi,Masters,0,Internship,Onsite,"Adaptability, Teamwork, Problem Solving",294
89,DevOps Engineer,"linuxCI/CD, Kubernetes, automation",Karachi,Bachelors,2,Part-time,Onsite,"Adaptability, Teamwork, Communication",348
90,IT Consultant,"analysis, strategy, strategy, strategy, analysis, analysis",Islamabad,Intermediate,2,Part-time,Remote,"Teamwork, Problem Solving",441
91,Security Operations Center (SOC) Analyst,"security tool management, security policies, SOC, log analysis, network traffic analysis, security incident handling",Abbottabad,Bachelors,1,Part-time,Onsite,"Adaptability, Communication, Problem Solving",258
92,Frontend Developer,"backend, PHP, CSS, .net, JavaScript, MERN",Faisalabad,Intermediate,2,Full-time,Onsite,"Adaptability, Teamwork, Communication",325
93,Game Developer,"C++, 3D modeling, Unity",Islamabad,Bachelors,4,Contract,Remote,"Adaptability, Teamwork",228
94,Web Developer,"backend, frontend, backend, frontend, MERN, PHP",Rawalpindi,Masters,9,Contract,Onsite,Adaptability,361
95,Data Scientist,"analytics, machine learning, statistics, data",Nawabshah,Intermediate,0,Contract,Remote,"Teamwork, Adaptability, Communication",277
96,IT Support Specialist,"helpdesk, ticketing, ticketing",Gujranwala,PhD,18,Contract,Onsite,Teamwork,42
97,Mobile App Developer,"Kotlin, Kotlin, Android, mobile, Android",Nawabshah,Masters,3,Contract,Remote,"Communication, Adaptability, Problem Solving",433
98,Network Administrator,"DHCP, network security protocols, switching, switching, wireless networking",Sialkot,Intermediate,1,Internship,Onsite,"Teamwork, Adaptability, Communication",400
99,AI Engineer,"machine learning, neural network, artificial intelligence, machine learning, computer vision",Bahawalpur,PhD,15,Part-time,Remote,Adaptability,206
100,IT Project Manager,"scrum, agile, PMP, scrum",Multan,Intermediate,2,Full-time,Remote,"Problem Solving, Teamwork",281
101,Data Scientist,"python, R, data, analytics, statistics, R",Peshawar,Bachelors,5,Part-time,Remote,"Teamwork, Problem Solving",122
102,Cybersecurity Analyst,"IDPS, IDPS, SIEM, risk assessment, vulnerability assessment",Sialkot,PhD,13,Part-time,Onsite,"Problem Solving, Adaptability",30
103,IT Consultant,"consulting, consulting, TOGAF, strategy, strategy, TOGAF",Gujranwala,Bachelors,5,Full-time,Onsite,"Teamwork, Communication, Problem Solving",285
104,Frontend Developer,"CSS, MERN, HTML, CSS",Peshawar,Intermediate,1,Internship,Onsite,"Problem Solving, Teamwork",183
105,IT Consultant,"strategy, analysis, analysis, consulting, analysis, consulting",Rawalpindi,Bachelors,2,Part-time,Remote,Adaptability,13
106,Ethical Hacker,"vulnerability assessment, vulnerability assessment, network security",Faisalabad,Bachelors,1,Contract,Remote,"Teamwork, Adaptability, Communication, Problem Solving",395
107,IT Support Specialist,"IT, IT, helpdesk, helpdesk",Gujranwala,Masters,1,Part-time,Onsite,"Teamwork, Communication, Adaptability, Problem Solving",58
108,Security Operations Center (SOC) Analyst,"security monitoring, security tool management, incident escalation",Sukkur,Bachelors,0,Full-time,Onsite,"Problem Solving, Adaptability, Teamwork",374
109,Database Administrator,"Oracle, MySQL, database",Multan,Bachelors,5,Full-time,Onsite,"Communication, Problem Solving",278
110,Machine Learning Engineer,"deep learning, machine learning, NLP, deep learning, machine learning",Quetta,Bachelors,1,Part-time,Remote,"Adaptability, Teamwork, Problem Solving",335
111,Data Scientist,"statistics, R, python, python",Peshawar,Bachelors,1,Part-time,Onsite,"Adaptability, Problem Solving, Teamwork, Communication",90
112,Security Operations Center (SOC) Analyst,"threat detection, security incident handling, log analysis, security tool management",Lahore,Bachelors,5,Full-time,Onsite,"Teamwork, Communication, Problem Solving, Adaptability",481
113,AI Engineer,"generative AI, NLP, deep learning",Faisalabad,Masters,5,Contract,Onsite,Teamwork,476
114,Web Developer,"PHP, MERN, MERN, CSS, .net, PHP",Gujranwala,Bachelors,1,Part-time,Onsite,"Communication, Teamwork, Problem Solving, Adaptability",34
115,DevOps Engineer,"Kubernetes, DevOps, automation, DevOps",Rawalpindi,PhD,15,Contract,Remote,"Adaptability, Problem Solving, Teamwork, Communication",396
116,Blockchain Developer,"hyperledger, ethereum, smart contract, solidity, smart contract",Bahawalpur,PhD,19,Full-time,Remote,Problem Solving,200
117,Quality Assurance Engineer,"J metre, JUnit, J metre",Karachi,Bachelors,1,Part-time,Onsite,"Teamwork, Problem Solving",133
118,Backend Developer,"HTML, JavaScript, .net, HTML",Sukkur,Bachelors,1,Full-time,Remote,"Communication, Teamwork, Problem Solving, Adaptability",100
119,Database Administrator,"PostgreSQL, database, Oracle, SQL, Oracle",Peshawar,Intermediate,1,Part-time,Onsite,"Problem Solving, Adaptability, Communication, Teamwork",239
120,Big Data Engineer,"MapReduce, MapReduce, Hadoop, MapReduce, Scala",Faisalabad,PhD,15,Full-time,Remote,"Adaptability, Problem Solving, Communication, Teamwork",194
121,Backend Developer,"JavaScript, HTML, JavaScript, .net, HTML, frontend",Nawabshah,Bachelors,3,Full-time,Remote,"Teamwork, Adaptability",378
122,IT Support Specialist,"troubleshooting, troubleshooting, support, customer service, customer service",Islamabad,PhD,18,Part-time,Onsite,"Teamwork, Problem Solving, Communication, Adaptability",260
123,Computer Vision Engineer,"CNN, object detection, image processing",Sialkot,Masters,2,Contract,Onsite,Teamwork,49
124,IT Project Manager,"MS Project, PMP, agile, PMP, MS Project, MS Project",Lahore,Bachelors,3,Contract,Onsite,"Problem Solving, Adaptability, Teamwork",449
125,Game Developer,"C#, Unity, C++, game, 3D modeling, development",Peshawar,Masters,2,Contract,Remote,"Problem Solving, Adaptability, Communication, Teamwork",193
126,IT Consultant,"strategy, ITIL, business",Sialkot,Masters,7,Contract,Onsite,"Teamwork, Communication, Problem Solving, Adaptability",315
127,Network Administrator,"DHCP, network configuration, VPN, wireless networking, wireless networking",Gujranwala,PhD,19,Part-time,Onsite,"Teamwork, Problem Solving, Adaptability",27
128,Frontend Developer,"backend, frontend, backend",Rawalpindi,Masters,1,Full-time,Remote,"Teamwork, Communication, Problem Solving, Adaptability",110
129,Security Architect,"encryption standards, security governance, identity and access management, security risk assessment",Peshawar,Bachelors,3,Contract,Remote,Teamwork,227
130,Frontend Developer,"backend, frontend, HTML, .net, PHP, CSS",Sialkot,Intermediate,2,Part-time,Onsite,"Teamwork, Communication, Adaptability, Problem Solving",406
131,Security Operations Center (SOC) Analyst,"network traffic analysis, security incident handling, security tool management, network traffic analysis, security monitoring, security policies",Quetta,Masters,7,Part-time,Onsite,"Communication, Teamwork, Problem Solving",435
132,Ethical Hacker,"web application security, web application security, wireless security, network security, wireless security",Islamabad,Bachelors,3,Contract,Remote,"Teamwork, Problem Solving, Communication, Adaptability",61
133,Backend Developer,"PHP, CSS, MERN, .net",Hyderabad,Intermediate,2,Part-time,Onsite,"Adaptability, Communication",329
134,Cloud Engineer,"Azure, EC2, AWS, IaC, IaC, Azure",Karachi,Masters,3,Part-time,Remote,"Teamwork, Adaptability, Problem Solving, Communication",413
135,System Administrator,"security, security, system, networking",Sialkot,Intermediate,0,Internship,Remote,"Adaptability, Problem Solving",278
136,Business Analyst,"requirements gathering, stakeholder management, requirements gathering, stakeholder management, stakeholder management",Multan,Intermediate,1,Part-time,Remote,"Adaptability, Communication, Problem Solving, Teamwork",180
137,Frontend Developer,"MERN, HTML, MERN, PHP, HTML, backend",Nawabshah,Bachelors,3,Full-time,Onsite,"Communication, Problem Solving",262
138,DevOps Engineer,"Docker, automation, Docker, Docker, DevOps",Faisalabad,Masters,7,Contract,Onsite,"Adaptability, Problem Solving, Communication, Teamwork",364
139,Backend Developer,"HTML, backend, CSS, frontend",Karachi,Masters,6,Full-time,Onsite,"Adaptability, Communication",378
140,Web Developer,"HTML, HTML, PHP, .net, .net, backend",Rawalpindi,Masters,0,Contract,Onsite,Teamwork,46
141,Database Administrator,"Oracle, NoSQL, MySQL, SQL",Gujranwala,Intermediate,0,Internship,Remote,Adaptability,170
142,Business Analyst,"process improvement, requirements gathering, stakeholder management, process improvement, analysis, business",Abbottabad,PhD,20,Part-time,Remote,"Teamwork, Problem Solving, Communication, Adaptability",102
143,IT Consultant,"ITIL, analysis, business, consulting, ITIL, strategy",Nawabshah,Intermediate,0,Contract,Onsite,"Communication, Problem Solving, Teamwork, Adaptability",477
144,IT Consultant,"business, TOGAF, TOGAF, business, ITIL",Faisalabad,Intermediate,0,Part-time,Remote,"Adaptability, Teamwork, Communication, Problem Solving",434
145,Database Administrator,"database, SQL, NoSQL, PostgreSQL",Quetta,PhD,17,Part-time,Onsite,"Adaptability, Communication, Problem Solving",462
146,Business Analyst,"business, analysis, stakeholder management, analysis, requirements gathering, business",Peshawar,Masters,4,Contract,Onsite,"Problem Solving, Communication",25
147,Business Analyst,"analysis, stakeholder management, process improvement, requirements gathering, stakeholder management",Abbottabad,Intermediate,1,Full-time,Remote,"Problem Solving, Communication, Teamwork, Adaptability",48
148,IT Consultant,"TOGAF, ITIL, business, ITIL, strategy",Sukkur,Masters,6,Full-time,Remote,"Communication, Teamwork, Problem Solving",13
149,DevOps Engineer,"automation, Docker, automation",Islamabad,PhD,18,Full-time,Remote,Adaptability,21
150,UI/UX Designer,"Figma, UX, design, Figma",Peshawar,Intermediate,1,Internship,Remote,"Problem Solving, Adaptability",61
151,IT Support Specialist,"helpdesk, helpdesk, troubleshooting",Hyderabad,Masters,5,Contract,Remote,"Teamwork, Adaptability, Communication, Problem Solving",298
152,Ethical Hacker,"web application security, exploit development, threat modeling, social engineering",Gujranwala,Masters,4,Contract,Remote,"Communication, Teamwork, Problem Solving, Adaptability",210
153,UI/UX Designer,"UX, Figma, Figma, UX, Figma, UX",Lahore,Bachelors,4,Part-time,Onsite,"Teamwork, Adaptability, Problem Solving, Communication",31
154,Security Operations Center (SOC) Analyst,"incident escalation, SOC, security policies, SOC, SOC",Abbottabad,Bachelors,0,Contract,Onsite,"Adaptability, Communication, Problem Solving",434
155,Blockchain Developer,"ethereum, smart contract, hyperledger",Multan,Intermediate,2,Part-time,Remote,Teamwork,353
156,Cybersecurity Analyst,"IDPS, penetration testing, IDPS",Abbottabad,Bachelors,5,Part-time,Onsite,"Problem Solving, Teamwork",357
157,Backend Developer,"CSS, PHP, backend, HTML, frontend",Rawalpindi,PhD,17,Full-time,Onsite,"Problem Solving, Teamwork, Adaptability, Communication",216
158,Game Developer,"development, C#, C++, development",Rawalpindi,Intermediate,0,Full-time,Remote,"Teamwork, Adaptability",445
159,Security Operations Center (SOC) Analyst,"security monitoring, network traffic analysis, network traffic analysis, security tool management, security policies",Sialkot,PhD,20,Contract,Remote,Adaptability,396
160,IT Consultant,"ITIL, TOGAF, consulting, strategy, business, consulting",Sukkur,Intermediate,0,Internship,Remote,"Adaptability, Problem Solving, Teamwork, Communication",439
161,System Administrator,"security, networking, security, networking, administration, administration",Sukkur,Bachelors,3,Contract,Onsite,Teamwork,124
162,Cybersecurity Analyst,"penetration testing, incident response, vulnerability assessment, incident response, IDPS, malware analysis",Sialkot,PhD,2,Full-time,Remote,"Problem Solving, Adaptability",294
163,DevOps Engineer,"Ansible, Docker, DevOps, Ansible, Docker, linuxCI/CD",Karachi,Masters,10,Part-time,Onsite,Teamwork,241
164,Mobile App Developer,"app, Kotlin, flutter, Kotlin, mobile",Sialkot,Intermediate,2,Contract,Remote,"Adaptability, Teamwork, Problem Solving, Communication",462
165,Game Developer,"3D modeling, Unreal Engine, 3D modeling, Unreal Engine",Faisalabad,PhD,6,Contract,Remote,Adaptability,69
166,Security Operations Center (SOC) Analyst,"security policies, threat detection, log analysis, incident escalation, security tool management, log analysis",Faisalabad,Masters,6,Part-time,Remote,"Adaptability, Problem Solving, Communication, Teamwork",375
167,Computer Vision Engineer,"CNN, object detection, object detection",Nawabshah,Intermediate,2,Full-time,Remote,"Communication, Problem Solving, Adaptability, Teamwork",236
168,Blockchain Developer,"smart contract, ethereum, blockchain, blockchain, blockchain",Bahawalpur,Intermediate,0,Part-time,Remote,"Teamwork, Adaptability, Problem Solving, Communication",353
169,Backend Developer,".net, HTML, HTML, HTML, frontend",Abbottabad,PhD,1,Internship,Onsite,"Teamwork, Problem Solving, Adaptability",462
170,Frontend Developer,"frontend, CSS, HTML, CSS, JavaScript",Nawabshah,Bachelors,1,Part-time,Onsite,"Problem Solving, Teamwork, Adaptability",158
171,DevOps Engineer,"automation, Kubernetes, automation, Ansible, automation",Sialkot,Intermediate,1,Contract,Remote,Adaptability,144
172,Web Developer,"HTML, PHP, MERN, MERN, HTML, MERN",Peshawar,Intermediate,0,Full-time,Remote,"Adaptability, Problem Solving, Teamwork",166
173,Machine Learning Engineer,"NLP, deep learning, deep learning",Abbottabad,Bachelors,4,Full-time,Onsite,"Teamwork, Adaptability",157
174,Security Operations Center (SOC) Analyst,"security procedures, security incident handling, SOC, security procedures, security tool management",Karachi,Bachelors,4,Contract,Remote,"Problem Solving, Teamwork, Communication",233
175,IT Support Specialist,"ticketing, troubleshooting, IT, troubleshooting",Rawalpindi,Masters,8,Contract,Remote,"Adaptability, Problem Solving, Teamwork",87
176,Business Analyst,"requirements gathering, business, stakeholder management, requirements gathering, stakeholder management, business",Hyderabad,Intermediate,0,Part-time,Remote,"Adaptability, Teamwork, Communication",58
177,Cloud Engineer,"IaC, Google Cloud, serverless, EC2, Google Cloud, IaC",Peshawar,PhD,11,Part-time,Remote,"Teamwork, Adaptability, Problem Solving, Communication",176
178,Security Operations Center (SOC) Analyst,"security incident handling, security tool management, incident escalation, threat detection, security procedures",Hyderabad,Masters,8,Contract,Remote,Adaptability,337
179,Blockchain Developer,"smart contract, ethereum, ethereum, hyperledger, hyperledger",Sialkot,Masters,10,Full-time,Onsite,"Problem Solving, Adaptability, Communication, Teamwork",241
180,Big Data Engineer,"MapReduce, big data, Scala, MapReduce, MapReduce, Hive",Abbottabad,PhD,11,Full-time,Onsite,Adaptability,336
181,Computer Vision Engineer,"object detection, computer vision, CNN, CNN, object detection",Hyderabad,PhD,0,Full-time,Onsite,"Teamwork, Communication",10
182,Quality Assurance Engineer,"J metre, Selenium, QA, Postman, QA",Faisalabad,Intermediate,0,Full-time,Onsite,Problem Solving,269
183,System Administrator,"Linux, security, networking",Quetta,PhD,4,Contract,Onsite,Communication,3
184,Quality Assurance Engineer,"Appium, Selenium, J metre, JUnit",Gujranwala,Bachelors,4,Part-time,Onsite,"Communication, Adaptability, Teamwork",271
185,Quality Assurance Engineer,"pytest, J metre, QA, pytest, Selenium",Gujranwala,Intermediate,2,Full-time,Remote,"Adaptability, Teamwork, Problem Solving, Communication",133
186,Security Operations Center (SOC) Analyst,"log analysis, incident escalation, security monitoring, threat detection",Nawabshah,Masters,3,Full-time,Remote,Communication,348
187,Security Architect,"secure coding practices, encryption standards, security governance, security compliance, security protocols, security protocols",Abbottabad,PhD,3,Part-time,Onsite,"Communication, Adaptability, Teamwork",197
188,Computer Vision Engineer,"CNN, computer vision, computer vision",Gujranwala,Intermediate,2,Contract,Remote,"Adaptability, Problem Solving",189
189,Blockchain Developer,"hyperledger, smart contract, smart contract",Peshawar,Intermediate,0,Full-time,Remote,"Problem Solving, Communication, Teamwork, Adaptability",145
